Taxon	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
D_0__Archaea;D_1__Bathyarchaeota	0.373498943	0.294783547	0.257943421	0.274755788	0.268061249	0.396327183	0.34214876	0.247762072	0.263180042	0.279870194	0.350948532	0.285091474	0.25343903	0.291139093	0.352010136	0.31704637	0.31301341	0.268086729	0.307206695	0.288911101	0.356072605	0.260613261	0.242526274	0.266605348	0.251803956	0.283813033	0.237861011	0.295549183	0.20714915	0.397611975
D_0__Archaea;D_1__Euryarchaeota	0.196165554	0.080516436	0.058907894	0.053459119	0.063061643	0.081297275	0.12231405	0.050226403	0.03835287	0.080720042	0.094670628	0.05571776	0.050976918	0.030497518	0.09352249	0.086455205	0.09619634	0.150931576	0.071984364	0.099782455	0.090510898	0.088851315	0.051557546	0.092693647	0.107537454	0.090708727	0.085198556	0.069392844	0.084282311	0.199805899
D_0__Archaea;D_1__Parvarchaeota	0.066657329	0.098627053	0.229788913	0.183142647	0.160935283	0.094882426	0.168595041	0.272130089	0.122218883	0.139345068	0.149026572	0.14502605	0.175294941	0.109921285	0.122249109	0.159167827	0.095184279	0.112047832	0.09528179	0.128292568	0.093797743	0.146475955	0.143610542	0.180146423	0.136250771	0.134138829	0.124305054	0.105124049	0.157233987	0.189659736
D_0__Archaea;D_1__Thaumarchaeota	0.10750283	0.124374454	0.102164769	0.087732504	0.226371591	0.115738836	0.090909091	0.067721633	0.094766723	0.174917577	0.093376044	0.109989852	0.102923758	0.047356611	0.142947646	0.092374185	0.087391414	0.13159185	0.158934503	0.177028457	0.124129231	0.125531234	0.111998063	0.108453295	0.212150249	0.112788286	0.172915162	0.117715996	0.188746044	0.068670411
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	0.163722795	0.217690175	0.160110115	0.193312592	0.139996847	0.180934899	0.161983471	0.18387553	0.220432154	0.181319904	0.1602629	0.201486487	0.200988575	0.257455788	0.154049872	0.195472859	0.232723286	0.1817798	0.216999137	0.158760583	0.18870979	0.183460525	0.17433775	0.163392923	0.148965954	0.190934213	0.194061372	0.233337489	0.236067152	0.048966268
D_0__Bacteria;Ambiguous_taxa	0.041172572	0.060982643	0.042621594	0.040479058	0.035886016	0.040739627	0.031404959	0.041179765	0.055017867	0.046907267	0.039202669	0.048364694	0.054287713	0.039485158	0.038738355	0.043103069	0.04943915	0.051182175	0.041236167	0.036588664	0.042056206	0.04368688	0.042538381	0.038642929	0.047852751	0.043933066	0.063267148	0.032165565	0.053137338	0.041966885
D_0__Bacteria;D_1__Acidobacteria	0.009222223	0.030137853	0.024901098	0.032232704	0.018682012	0.034504858	0.019834711	0.015796019	0.032080954	0.018057978	0.027518215	0.016781092	0.032557706	0.088620694	0.030014436	0.01618929	0.025250907	0.016261713	0.039740508	0.026746237	0.026483986	0.031348535	0.062430484	0.034173683	0.014806606	0.041316523	0.01198556	0.064056851	0.008728424	0.01914537
D_0__Bacteria;D_1__Actinobacteria	0.010453248	0.028798393	0.044209797	0.030693831	0.028919675	0.021449821	0.01322314	0.050549158	0.032267976	0.023849574	0.031302385	0.027751164	0.043805083	0.026614113	0.02218368	0.030576515	0.020359281	0.022267923	0.019315116	0.020649106	0.022678534	0.032567137	0.055333187	0.034130472	0.021055877	0.03755842	0.023537906	0.024086772	0.021429504	0.010322619
D_0__Bacteria;D_1__Aminicenantes	0.005836	0.001785947	0.017614615	0.015154556	0.007892559	0.010317435	0.003305785	0.003873062	0.02078616	0.004264768	0.008862923	0.013940779	0.008496153	0.027497762	0.013792101	0.007838254	0.003204858	0.010582371	0.007992145	0.014187441	0.006139183	0.011805206	0.017887003	0.013599101	0.004749446	0.01459161	0.015189531	0.023039521	0.018974125	0.010322619
D_0__Bacteria;D_1__Armatimonadetes	0.001619467	0.014994512	0.036904063	0.04369062	0.018149929	0.008766655	0.019834711	0.026162156	0.069492035	0.016505271	0.021825364	0.06033823	0.034245745	0.032753148	0.011361866	0.019178082	0.022602682	0.032196557	0.006533189	0.029815381	0.01946177	0.049018264	0.064624744	0.031537816	0.028288366	0.016060943	0.045929603	0.013140506	0.005604137	0.005264241
D_0__Bacteria;D_1__BJ-169	0.008634507	0.025598571	0.015063865	0.030041483	0.019292921	0.008442257	0.018181818	0.028487892	0.034365294	0.019719374	0.010373272	0.021112428	0.025134064	0.037880638	0.009658625	0.020130393	0.029670237	0.009302136	0.015562203	0.008966369	0.016413203	0.013496017	0.015775974	0.023327736	0.009765527	0.02124882	0.012572202	0.011320284	0.003377166	0.002146869
D_0__Bacteria;D_1__BRC1	0.001485173	0.002567299	0.001761462	0.001873411	0.001783462	0.001052315	0.001652893	0.001148629	0.000774805	0.00202887	0.002804933	0.003520628	0.002135696	0.001151069	0.001557843	0.001450443	0.001686767	0.004439965	0.004624617	0.000776105	0.003160698	0.003092202	0.002678511	0.003703795	0.002791341	0.000672503	0.003781588	0.001171924	0.001933305	0.001294003
D_0__Bacteria;D_1__Bacteroidetes	0.003143628	0.000967388	0.000471648	0.000719256	0.000807977	0.000371871	0	0.000636018	0.000333968	0.001304274	0.001593335	0.00047622	0.000941945	0.000441825	0.000685451	0.001054868	0.000961457	0.001961212	0.000321154	0.000529163	0.000581681	0.000746394	0.000544782	0.000376553	0.00137484	0.001073744	0.000902527	0.000224411	0.001142037	0.001117548
D_0__Bacteria;D_1__Candidatus Berkelbacteria	0.000242595	0.000148829	0.000115506	0.000183996	0.000266041	0.000142419	0	0.000180363	5.34E-05	0.000217379	0.000282153	0.000204094	0.00019585	2.33E-05	0.000290797	0.000146509	8.43E-05	0.000898889	0.000137637	0.000311618	0.000301353	0.000517906	0.00040102	0.000111114	0.000291633	0.000197795	0.000451264	0.000174542	0.000212093	0.00070582
