Taxon	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc35	515rcbc9	515rcbc18	515rcbc15	515rcbc26	515rcbc36	515rcbc10	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
D_0__Archaea;D_1__Bathyarchaeota	6.86676417472e-07	0.0	7.30166843124e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0089086635e-05	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota	3.98272322134e-05	2.62408648989e-05	0.000788580190574	1.79662234998e-05	5.6569405003e-05	7.4452402579e-05	7.98757488351e-05	4.54603313149e-05	0.000160860668923	0.0	1.0874174922e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001392731797	5.44413231419e-06	0.0	7.95494320171e-06	1.36055347315e-05	0.0	0.0	1.60107592302e-05	0.0	0.0	8.69928317907e-06	0.0	0.0
D_0__Archaea;D_1__Parvarchaeota	0.0	0.0	5.11116790187e-05	0.0	0.0	0.0	0.0	0.0	1.93032802708e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota	0.00156562223184	0.031410315284	0.0631959402724	0.0306563660319	0.0320409109937	0.0485131855205	0.0326691812736	0.0251577473497	0.0672397596098	0.00527143522833	0.0154576396516	0.00501626898048	0.00635927215725	0.0128970914499	0.0295224212534	0.0086052955665	0.0158272528905	0.0358953408479	0.0581977744387	0.0140992440294	0.0272059057498	0.0190001292526	0.0184896162877	0.0111887970782	0.0420122322201	0.0212943364762	0.0174252595352	0.0446795184077	0.0215413690381	0.0191387559809
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	0.0	3.93612973484e-05	0.0	1.19774823332e-05	0.0	0.0	3.55003328156e-05	0.0	6.43442675692e-06	0.0	0.0	0.0	3.56261745504e-05	2.43801350659e-05	0.0	0.0	1.48102803092e-05	0.0	5.98854554561e-05	6.1035688439e-05	3.97747160085e-05	6.80276736576e-06	0.0	2.017817327e-05	6.40430369208e-05	6.41395676993e-05	3.7819337027e-05	0.0	1.60158877607e-05	0.0
D_0__Bacteria;Ambiguous_taxa	2.19736453591e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria	0.167436430931	0.183830379049	0.171574604797	0.163013534555	0.25441524206	0.181217147877	0.197390725538	0.179831978615	0.217348501422	0.0501805684995	0.188411391786	0.236570116116	0.214255813746	0.22931955043	0.158674371842	0.177193657635	0.179624016351	0.158975692188	0.199195357244	0.214121914428	0.147150539345	0.189021694025	0.193009097172	0.150983181493	0.188590732973	0.159899942274	0.137794754458	0.194376783353	0.227409590314	0.170653907496
D_0__Bacteria;D_1__Actinobacteria	0.0635828028758	0.108322290303	0.140009492169	0.176703796862	0.106361795287	0.141816936433	0.168812957621	0.26441547106	0.117589148983	0.188723205965	0.132779112885	0.156317787419	0.0949437551769	0.104956481459	0.127688505039	0.093588362069	0.135128997541	0.223022785092	0.139059471701	0.0949802505951	0.13217933624	0.0910686467255	0.154469144135	0.120261912689	0.17575010407	0.147248412546	0.160656543691	0.121085322569	0.0906339088376	0.153110047847
D_0__Bacteria;D_1__Aminicenantes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0874174922e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Armatimonadetes	0.000466253287463	0.000590419460225	0.00189843379212	0.000341358246497	0.00219489291412	0.000893428830948	0.00104725981806	0.000909206626298	0.000990901720566	0.000553355079217	0.000222920585901	0.00213729743524	0.00207522466756	0.00180412999488	0.000910332271279	0.000900554187192	0.000755324295771	0.000714935655791	0.000979943816555	0.000566759964076	0.000739809717759	0.00149660882047	0.000576482332926	0.000635612458004	0.00078452720228	0.00104226797511	0.000557835221149	0.000817732618832	0.000800794388033	0.0
